id,layout,workload,phase,logical_bytes,bytes_read,index_bytes_read,data_bytes_read,object_requests,range_requests,length_requests,downstream_requests,fetched_bytes,cache_hits,touched_chunks,touched_shards,read_amplification
direct-balanced.volume.cold,direct-balanced,volume,cold,32768,262144,0,262144,8,0,0,8,262144,0,8,0,8.000000
direct-balanced.movie-16.cold,direct-balanced,movie-16,cold,524288,524288,0,524288,16,0,0,16,524288,0,16,0,1.000000
direct-balanced.aligned-roi.cold,direct-balanced,aligned-roi,cold,32768,32768,0,32768,1,0,0,1,32768,0,1,0,1.000000
direct-balanced.voxel-series.cold,direct-balanced,voxel-series,cold,128,262144,0,262144,8,0,0,8,262144,0,8,0,2048.000000
direct-volume.volume.cold,direct-volume,volume,cold,32768,32768,0,32768,1,0,0,1,32768,0,1,0,1.000000
direct-volume.movie-16.cold,direct-volume,movie-16,cold,524288,524288,0,524288,16,0,0,16,524288,0,16,0,1.000000
direct-volume.aligned-roi.cold,direct-volume,aligned-roi,cold,32768,262144,0,262144,8,0,0,8,262144,0,8,0,8.000000
direct-volume.voxel-series.cold,direct-volume,voxel-series,cold,128,2097152,0,2097152,64,0,0,64,2097152,0,64,0,16384.000000
sharded-balanced.volume.cold,sharded-balanced,volume,cold,32768,262404,260,262144,10,9,1,10,262404,0,8,1,8.007935
sharded-balanced.movie-16.cold,sharded-balanced,movie-16,cold,524288,524548,260,524288,3,2,1,3,524548,0,16,1,1.000496
sharded-balanced.aligned-roi.cold,sharded-balanced,aligned-roi,cold,32768,33028,260,32768,3,2,1,3,33028,0,1,1,1.007935
sharded-balanced.voxel-series.cold,sharded-balanced,voxel-series,cold,128,263184,1040,262144,12,8,4,12,263184,0,8,4,2056.125000
direct-balanced.volume.warm,direct-balanced,volume,warm,32768,262144,0,262144,8,0,0,0,0,8,8,0,8.000000
sharded-balanced.volume.warm,sharded-balanced,volume,warm,32768,262404,260,262144,10,9,1,0,0,10,8,1,8.007935
